area,caracteristicas,descripcion,estrato,numero_baños,numero_habitaciones,precio,tipo_inmueble,tipo_operacion,titulo,ubicacion
137 m²,,"Apartamento  dúplex con vista hacia el sur y oriente de la ciudad. Tiene la siguiente distribución :  primer nivel con  entrada , sala comedor, estudio abierto, balcón, cocina abierta, 1 baño social, habitación con baño privado y tina de hidromasajes. Segundo nivel : escalera, estar de alcobas, zona de ropas, 3 alcobas con closet una de estas con baño privado, vestier balcón  y otra solo con baño privado y closet .  El edificio cuenta con equipamiento comunal, portería 24 horas, 2 ascensores, citofonía, chut de basuras,  sala de cine,  gimnasio, zona  de canchas deportivas , salón social y parqueadero de visitantes . Acometida general única a tanque de almacenamiento de agua potable.",,,,"$ 531.000.000
                        ",,,"
            ","Los Muiscas, Tunja, Boyacá "
,,"Bodega ubicada a una 3 cuadras de la avenida principal y a 3 minutos del Centro Histórico con servicios de luz trifásica, agua y gas natural, una zona estratégica de almacenamiento para cualquier insumo o producto con varias vías de acceso.",,,,"$ 150.000.000
                        ",,,"
            ","Tunja, Boyacá "
,,"D.C COLOMBIA S.A.S Vende local con área de 1.103,49M2, el cual está conformado de la siguiente manera Entrada por bodega donde se encuentran los tacos de luz y el cuarto de proyecciones. Al entrar al local tenemos el pasillo donde están las entradas a la cocina, está la bodega y una bodega auxiliar, también está el cuarto de venta de comida, enseguida está el cuarto de taquilla y dos cuartos más al lado y por el siguiente costado está un cuarto de administración. Por el pasillo tiene las 9 salas de proyección, las cuales están conformadas por escaleras en baldosa y enseguida están otros cuartos y uno de lavado de trapero. Luego están los baños de mujeres y de hombres.",,,,"$ 4.017.396.662
                        ",,,"
            ","Urbanizacion La Florida, Tunja, Tunja, Boyacá "
,,"EL PORTAL DEL BOSQUE CUENTA CON :
Área construida 110.32
#Baños 2   #Alcobas 3  Sala-Comedor, Cocina, Estudio, Zona Ropas.
Precio  $ 325,444,000 $ Cuenta con las siguientes zonas comunes
ZONA COMERCIAL 
PARQUEADERO DE VISITANTES
SALON DE EVENTOS 
GIMNASIO
SAUNA 
JACUZZI
TERRAZA DE AEROBICOS
ZONA DE BBQ
SENDEROS ECOLOGICOS 
PARQUES INFANTILES
CANCHA MÚLTIPLE
Invierta en vivienda propia en Colombia. En EL PORTAL DEL BOSQUE te ayudamos a proteger tu futuro y el de tu familia . ¡Es un negocio rentable! ",,,,"$ 325.444.000
                        ",,,"
            ","Los Parques, Tunja, Tunja, Boyacá "
,,"EXCELENTE PREDIO URBANO PARA DESARROLLO MIXTO - 22.374 UBICACION INDUSTRIAL TUNJA ZONA SUR
A dos minutos de la variante Bogotá - Tunja y 5 minutos de la antigua via 
La propiedad es privilegiada por su tamaño y el trafico de población gracias al gran desarrollo nacional del Parque Agroalimentario de Tunja.
El predio permite el desarrollo de proyectos industriales de bodegas y/o vivienda VIS y no VIS 
Se escuchan ofertas! KV  ",,,,"$ 8.949.600.000
                        ",,,"
            ","San Carlos, Tunja, Tunja, Boyacá "
,,"D.C Colombia S.A.S vende local comercial ubicado en el Centro comercial Unicentro Tunja, identificado con el número 01-011. El inmueble que cuenta con 319.99 m2 cuenta con una amplia zona interior, 2 cubículos,1 sala de juntas, zona social o cafetería, 2 baños, 1 zona de lockers, 1 cubículo para caja,2 puertas de acceso: la primera de carácter comercial y la segunda correspondiente a la zona de carga, además cuenta con aire acondicionado. El inmueble al interior del centro comercial se localiza en el ala sur, fácil ubicación y visualización.",,,,"$ 2.916.627.171
                        ",,,"
            ","Santa Inés, Tunja, Boyacá "
3,"Balcón,Vista panorámica,Gas natural,Cocina integral,Tanque de agua,Agua","VENDO APARTAESTUDIO UBICADO EN EL BARRIO GAITAN DE LA CIUDAD DE TUNJA, CERCA A CLINICA DE LOS ANDES, GLORIETA NORTE, UPTC, EPS SANITAS, COLSUBSIDIO, ALMACEN EL CHISPASO, AVENIDA MALDONADO, RESTAURANTES, PANADERIAS, FARMACIAS, PAPELERÍAS 

El apartaestudio consta de: Sala comedor, cocina integral, zona de ropas, un baño con division en acrilico,  una habitación con closet y balcón, pisos en madera laminada, calentador de paso, cuenta con excelente luz natural, acceso con chip, el apartaestudio esta ubicado en el piso tres.
Servicios de: Agua, luz, gas natural, estrato 3

Área: 26.59mts2
Valor Venta: $ 113.000.000

CONTACTO ",,,,"$ 113.000.000
                        ",,,"
            ","Jorge Eliercer Gaitan, Tunja, Tunja, Boyacá "
,,"Lote rural de uso mixto, residencial a un 80 porciento.",,,,"$ 460.000.000
                        ",,,"
            ","Gaitán, Tunja, Boyacá "
,,"EL PORTAL DEL BOSQUE CUENTA CON :
Area  construidos 68,46m 
#   Baños    1   #Alcobas    2    Sala-Comedor ,  Cocina ,estudio ,Zona Ropas un    
  Precio  $ 195.111.000 $ .Cuenta con las siguientes zonas comunes
ZONA COMERCIAL 
PARQUEADERO DE VISITANTES
SALON DE EVENTOS 
GIMNASIO
SAUNA 
JACUZZI
TERRAZA DE AEROBICOS
ZONA DE BBQ
SENDEROS ECOLOGICOS 
PARQUES INFANTILES
CANCHA MÚLTIPLE
Invierta en vivienda propia en Colombia. En EL PORTAL DEL BOSQUE te ayudamos a proteger tu futuro y el de tu familia . ¡Es un negocio rentable! ",,,,"$ 199.129.500
                        ",,,"
            ","Los Parques, Tunja, Tunja, Boyacá "
,,"Bodega ubicada a una 3 cuadras de la avenida principal y a 3 minutos del Centro Histórico con servicios de luz trifásica, agua y gas natural, una zona estratégica de almacenamiento para cualquier insumo o producto con varias vías de acceso.",,,,"$ 150.000.000
                        ",,,"
            ","Tunja, Boyacá "
,,"LOTE INTEGRADO POR DOS LOTES QUE CORRESPONDE A: UNO CON 429 M2 VALOR  Y EL SEGUNDO LOTE CON 629 M2 VALOR LOTE EN CÉSPED, URBANO.  Expensas: 0 COP- Agua corriente- Gas natural",,,,"$ 640.000.000
                        ",,,"
            ","Veinte de Julio, Tunja, Boyacá "
36 m²,"Aparcadero,Vista panorámica,Gas natural,Terraza,Cocina integral,Tanque de agua,Agua","VENDO AMPLIO APARTAESTUDIO, UBICADO EN UN EXCELENTE SECTOR DE ALTA VALORIZACION, CERCA A CENTROS COMERCIALES COMO UNICENTRO, BULEVAR, ALMACENES MAKRO, COLEGIO VILLA FONTANA, ESTADIO, PISCINA OLÍMPICA, BUEN SERVICIO SERVICIO DE TRANSPORTE PÚBLICO, Y CON BONITOS ESPACIOS PEATONALES PARA DAR UN AGRADABLE CAMINATA.

El apartaestudio consta de: cocina integral, zona de ropas, sala comedor, habitacion con closet, baño con division en vidrio, ducha tipo lluvia, calentador de paso, terraza, vista panoramica,  pisos en madera laminada, cortinas black out,  el edificio tiene ascensor, acceso con chip, parqueadero con monta coche, bodega, zonas comunes, salón social, zona BBQ.
Servicios de: Agua, luz, gas natural, estrato 5

Área de apartaestudio: 36.58mts2
Área de terraza : 22.798. mts2
Área de bodega: 2.96mts2
Valor Venta: $ 198.000.000
CONTACTO: ",,,,"$ 198.000.000
                        ",,,"
            ","Sauces de la Prodera, Tunja, Tunja, Boyacá "
22.374 m²,Aparcadero,"PROPIEDAD INMEJORABLE AL SUR DE TUNJA 

Area urbanizada de 22.374m2  

a dos minutos de la variante Bogotá - Tunja y 5 minutos de la antigua via.

 

La propiedad es privilegiada por su tamaño y el trafico de población gracias al gran desarrollo nacional del Parque Agroalimentario de Tunja.

 

El predio permite el desarrollo de proyectos industriales de bodegas y/o vivienda VIS y no VIS 

 

Se escuchan ofertas! KV

",,,,"$ 8.949.600.000
                        ",,,"
            ","San Francisco, Tunja, Tunja, Boyacá "
130 m²,"Aparcadero,Balcón,Jacuzzi,Patio,Alarma,Chimenea,Electricidad,Internet,Cocina integral,Vista panorámica,Tanque de agua,Gas natural,Agua,Terraza","Excelente oportunidad, vendemos casa en conjunto cerrado totalmente nueva (sin estrenar) en conjunto Arboleda Real, cerca a Unicentro, Clínica Medilaser y Green Hills, con seguridad privada 24 horas. La casa cuenta con 3 pisos, son 130 Mts construidos, distribuidos así: Entrada con garaje cubierto privado y antejardin, 1er piso: Sala comedor (grande) cocina integral tipo americana amplia, patio de ropas cubierto, zona de TV y un baño. 2do Piso: 3 habitaciones con closet, zona de estudio o TV en el hall y un baño. 3er Piso: Habitación principal muy amplia con baño privado el cual cuenta con Jacuzzi, closet grande, zona de vestier y balcón, rodeado de vista hermosa de montañas silvestres.  Oportunidad!",,,,"$ 510.000.000
                        ",,,"
            ","Los Parques, Tunja, Tunja, Boyacá "
130 m²,"Aparcadero,Cocina integral,Vista panorámica,Alarma,Cuarto de oficina,Electricidad,Terraza,Balcón,Jacuzzi,Patio,Gas natural,Agua,Depósito","Excelente oportunidad, vendemos casa en conjunto cerrado totalmente nueva y sin estrenar en conjunto Arboleda Real, cerca a Unicentro, Clinica Medilaser y Green Hills, con seguridad privada 24 horas. La casa cuenta con 3 pisos, son 130 Mts construidos, distribuidos asi: Entrada con garaje cubierto privado y antejardin, 1er piso: Sala comedor (grande) cocina integral tipo americana amplia, patio de ropas cubierto, zona de TV y un baño. 2do Piso: 3 habitaciones con closet, zona de estudio o TV en el hall y un baño. 3er Piso: Habitacion principal muy amplia con baño privado el cual cuenta con Jacuzzi, closet grande, zona de vestier y balcon, rodeado de vista hermosa de montañas silvestres.  Precio negociable! Oportunidad!!!",,,,"$ 510.000.000
                        ",,,"
            ","Tunja, Tunja, Boyacá "
190 m²,"Aparcadero,Vista panorámica,Cocina integral,Chimenea","Esta hermosa Casa Campestre, ubicada en Tunja, Boyacá, ofrece una gran superficie construida de 190 M2 y cuenta con 5 alcobas, 4 baños, 2 garajes y una hermosa vista panorámica. Un área social en la parte externa incluye abundancia de sillones y una terraza para disfrutar de esta área. Está cerca de la zona urbana, ideal para quienes buscan la comodidad de una vida campestre y las comodidades de la ciudad. Además cuenta con una urbanización cerrada, vigilancia, zona campestre y un gran número de zonas verdes.

Internamente, la casa cuenta con una amplia cocina integral, un gran hall de alcobas, una zona de lavandería y varios clósets para tu organización. Las noches serán un poco más agradables gracias a la hermosa chimenea. El garaje es ideal para alojar tus vehículos. El jardín, con árboles, ofrecerá calma y entretenimiento a quienes lo disfruten.

Esta casa es una excelente oportunidad para aquellos que estén buscando vivir la vida campestre en una bella localidad como Tunja, Boyacá. Ofrece todas las comodidades de una vida urbana, sin limitar las ventajas de vivir en el campo.",,,,"$ 500.000.000
                        ",,,"
            ","Los Parques, Tunja, Tunja, Boyacá "
720 m²,,"Sensacional casa en zona campestre de 4 pisos con una área construida de 432 mts2 en un terreno total de 720 mts2 cuenta con 6 habitaciones con closets, 6 baños, cuarto estudio, chimenea, cocina integral tipo americano. Jacuzzi en la habitación principal, zona de lavandería. La sala es amplia y espacio de comedor independiente y garaje con puerta eléctrica.",,,,"$ 800.000.000
                        ",,,"
            ","Tunja, Boyacá "
,,"Si estás buscando un apartamento en una ubicación central en la ciudad de Tunja, tenemos la oportunidad perfecta para ti. Este apartamento se encuentra en el sector Maldonado, cerca de la glorieta principal, lo que lo convierte en una excelente opción para vivir gracias a su ubicación estratégica. Además, se encuentra cerca del centro de la ciudad, el sector comercial de Unicentro, el estadio y varias universidades, lo que te permitirá tener todo lo que necesitas a pocos minutos de distancia. El edificio cuenta con varias zonas comunes que puedes disfrutar, como un parque infantil y ascensor, además de contar con seguridad las 24 horas para tu tranquilidad. El apartamento en sí consta de dos amplias habitaciones, dos baños (uno privado y otro social), sala, comedor, cocina integral y patio de ropas. Además, tiene un parqueadero y un depósito para tu comodidad. ¡No pierdas la oportunidad de vivir en este excelente apartamento en una ubicación inmejorable en Tunja!",,,,"$ 230.000.000
                        ",,,"
            ","Tunja, Tunja, Boyacá "
,,"Casa ubicada en el barrio Las Quintas cerca al Club de EBSA y cercano al Centro Comercial Centro Norte, y Viva, igualmente a la Universidad Santo Tomás, en un sector comercial de alta valorización.  Cuenta con un área de 101 m² de 3 pisos compuesta de la siguiente manera: En el primer piso, un local grande con baño; en el segundo piso, cuenta con 3 alcobas con closet, la principal con baño privado, cocina integral tipo americana, sala comedor y baño social; y el tercer piso, cuenta con 2 habitaciones y cuarto estudio con altillo amplio.",,,,"$ 600.000.000
                        ",,,"
            ","Las Quintas, Tunja, Boyacá "
,"Aparcadero,Vista panorámica,Gas natural,Agua,Cocina integral,Tanque de agua,Chimenea,Electricidad","VENDO CASA AL SUR ORIENTE DE TUNJA, EXCELENTE SECTOR, CON MUY AGRADABLE ESPACIO VERDE DENTRO DEL CONJUNTO, VIGILANCIA PRIVADA 24/7,  EXCELENTE SERVICIO DE TRANSPORTE PUBLICO, CERCA A POLIDEPORTIVO DEL BARRIO SAN ANTONIO, COLEGIOS, INSTALACIONES DE VEOLIA.

La casa consta de: Sala comedor, cocina semi-integral, zona de ropas, star, tres alcobas con closet,dos baños, garaje cubierto, goza de excelente luz natural, pisos en ceramica.

Servicios de: agua, luz, gas natural estrato 3
Área Construida: 68.71  
Valor Venta:$ 210.000.000 

CONTACTO ",,,,"$ 210.000.000
                        ",,,"
            ","La Penita, Tunja, Tunja, Boyacá "
,"Aparcadero,Cuarto de servicio,Gas natural,Electricidad,Patio,Tanque de agua,Agua","VENDO CASA UBICADA EN EL BARRIO EL CONSUELO DE TUNJA, SOBRE AVENIDA ORIENTAL SALIDA PARA BOGOTA, CERCA AL CENTRO DE TUNJA, ANTIGUO TERMINAL, CAI DE POLICIA DEL BARRIO PATRIOTAS, CUENTA CON EXCELENTE SERVICIO DE TRANSPORTE URBANO,

La casa tiene una construcción de dos pisos, consta de: antejardin, sala, comedor, cocina con mesón, patio cubierto, cuarto de plancha con baño, cuatro habitaciones sin closet, dos baños, garaje cubierto.
Servicios de agua, luz, gas natural estrato 3.
Área construida: 80.40mts2

Valor venta: $250.000.000 negociables

CONTACTO: ",,,,"$ 250.000.000
                        ",,,"
            ","El Consuelo, Tunja, Tunja, Boyacá "
71 m²,"Tanque de agua,Agua,Gas natural","VENDO APARTAMENTO  UBICADO A MEDIA CUADRA DE LA ENTRADA PRINCIPAL DE LA UNAD, CUENTAN CON EXCELENTE SERVICIO DE TRANSPORTE PARA TODA LA CIUDAD, SECTOR, CON BUENA PROYECCION Y VALORIZACION, CERCA AL BATALLON, TERMINAL DE TRANSPORTE NUEVO.

El apartamento consta de: Sala comedor,cocina, zona de ropas, patio, tres habitaciones, baño privado, baño social, bodega, pisos en porcelanato, cuenta con punto para calentador de paso, y conecciones para lavadora.

Servicios de agua, luz, gas natural,estrato 3
Área construida 71.72 mts2
Valor Venta: $170.000.000
CONTACTO: ",,,,"$ 170.000.000
                        ",,,"
            ","Manzanares, Tunja, Tunja, Boyacá "
,"Aparcadero,Patio,Gas natural,Electricidad,Cocina integral,Tanque de agua,Agua","AGRADABLE CASA  UBICADA EN EL BARRIO LOS ANDES DE LA CIUDAD DE TUNJA, CERCA AL COLEGIO INEM, CAI DE POLICIA DEL BARRIO, A TRES CUADRAS DE LA CARRERA 11, UNIVERSIDAD JUAN DE CASTELLANOS, ALMACEN PARAISO.

Casa de dos pisos distribuida así: Primer piso; Garaje amplio,  Sala principal, sala auxiliar o estar, comedor, cocina integral, cuarto de despensa, patio de ropas,cuarto y baño de servicio, baño social. Segundo piso: estudio con mueble para biblioteca, tres habitaciones dos  con closet, un baño social, la casa cuenta con muy buena luz natural, acogedora y cálida.
pisos en Cerámica, y retal de marmol.

Servicios de  agua, luz, gas natural, estrato 3
 Area  de lote 112mts2
Área construida: 148mts2

Valor Venta: $ 260.000.000

CONTACTO: ",,,,"$ 260.000.000
                        ",,,"
            ","Paraiso, Tunja, Tunja, Boyacá "
80 m²,"Aparcadero,Vista panorámica,Gas natural,Electricidad,Cocina integral,Tanque de agua,Agua,Terraza","VENDO CASA COMODA Y ACOGEDORA, EN SECTOR DE AMPLIA VALORIZACION, AL NORTE DE TUNJA, SOBRE LA AVENIDA NORTE, EN CONJUNTO CERRADO, CUENTA CON VIGILANCIA PRIVADA 24/7, AMPLIAS ZONAS VERDES, PARQUEADERO CUBIERTO, ZONA INFALTIL, CERCA A INSTALACIONES DE BAVARIA, PLAZA DE MERCADO DEL NORTE,DISTRIBUIDORA DE POLLO, FERRETERIAS, CONCESIONARIOS DE AUTOMOVILES, CORPOBOYACA, IRDET.

La casa consta de: Sala comedor, cocina integral, zona de ropas, tres habitaciones con closet, zona de estudio, tres baños con división, calentador de paso, terraza, construida en tres niveles.
La casa cuenta con parqueadero cubierto, esta en excelente estado de conservación, goza de muy buena luz natural , y ventilación.
Servicios de: Agua, luz, gas natural,estrato 4.

Área  lote 80mts2
Área construida: 85mts2
Valor Venta: $268.000.000

CONTACTO: ",,,,"$ 268.000.000
                        ",,,"
            ","Prados del Norte, Tunja, Tunja, Boyacá "
42 m²,"Cocina integral,Gas natural,Tanque de agua,Agua","VENDO APARTAESTUDIO EN EL SECTOR DE LAS NIEVES, SOBRE LA AVENIDA MALDONADO, CERCA DE EL CENTRO HISTORICO DE TUNJA. COLEGIO SALECIANO, PLAZOLETA DE LAS NIEVES.

El apartaestudio esta en el piso 3°, el edificio cuenta con ascensor, puerta de seguridad, citofonia, consta de: una habitacion con closet, un baño, sala comedor, cocina integral, zona de ropas, calentador de paso.

servicios de: agua, luz, gas natural, estrato 4
Área construida: 42mts2.
Valor Venta: $ 150.000.000 negociable

CONTACTO: ",,,,"$ 150.000.000
                        ",,,"
            ","Las Nieves, Tunja, Tunja, Boyacá "
