area,caracteristicas,descripcion,estrato,numero_baños,numero_habitaciones,precio,tipo_inmueble,tipo_operacion,titulo,ubicacion
,,"Local en Arriendo en Edificio Milán, Cerca de Unicentro y VivaAtos Inmobiliaria te presenta una excelente oportunidad de arriendo en el Edificio Milán, una ubicación estratégica cerca del Centro Comercial Unicentro y Viva. Este local comercial tiene un área de 25.5 m² y cuenta con una vista a la calle, lo que lo hace ideal para diversos tipos de negocios.El local incluye un baño privado, lo que agrega comodidad para tus clientes y empleados. Además, la cercanía a dos importantes centros comerciales garantiza un flujo constante de personas y un gran potencial para tu negocio.Si estás buscando un espacio comercial bien ubicado en la ciudad, este local en el Edificio Milán podría ser la opción que necesitas. ¡Contáctanos para obtener más información y programar una visita!",,,1 baño,$ 1.200.000,Local comercial,Arriendo,LOCAL en ARRIENDO en Tunja UNICENTRO,"Boyacá, Tunja, Tunja"
86 m²,"Cocina integral,Cuarto de servicio,Gas natural,Vista panorámica,Tanque de agua,Agua","ARRIENDO APARTAMENTO EN EL EDIFICIO CANAPRO AL NORTE  DE LA CIUDAD DE TUNJA, CERCA A LA UPTC, CLÍNICA  GARPER, EPS, POZO DE DONATO, AVENIDA NORTE, PUENTE DE SANTA INÉS.

Apartamento en quinto piso, sin ascensor.
Consta de: Sala, comedor, cocina integral, zona de ropas, cuarto y baño de servicio, tres habitaciones con closet, baño social, baño privado, baños con ducha eléctrica, pisos en cerámica, cortinas, el apartamento goza de excelente luz natural y ventilación 

Servicios de agua, luz, gas natural estrato 4.

Valor Canon de arrendamiento: 950.000 incluye valor de administracion

CONTACTO: ",4,2 baños,,$ 950.000,Apartamento,Arriendo,ARRIENDO APARTAMENTO EDIFICIO CANAPRO TUNJA,"Calle 43a #7a-42, Tunja, Boyacá, Colombia"
65 m²,"Aparcadero,Cocina integral,Gas natural,Balcón,Vista panorámica,Permite animales domésticos","Apto ubicado en piso 5 distribuido así: Sala comedor, balcón, 2 alcobas, estudio, 2 baños, cocina, zona de lavandería.",5,2 baños,,$ 1.300.000,Apartamento,Arriendo,ARRIENDO APTO TORRE VIZCAYA TUNJA,"Calle 75 A & Carrera 2 Este, Tunja, Boyacá, Colombia"
,Aparcadero,"Inmobiliaria Atos tiene el placer de ofrecer un acogedor local comercial en una ubicación inmejorable, dentro del prestigioso centro comercial Novacenter, en el centro de la ciudad. Este local, con una superficie de 9.9 metros cuadrados, es una oportunidad única para establecer su negocio en un entorno comercial de alta afluencia.Características Destacadas:- Ubicado en el reconocido centro comercial Novacenter.- Área de 9.9 m², perfecta para una variedad de usos comerciales.- Estratégica cercanía a la Plaza de Bolívar.- Cuenta con un conveniente parqueadero para sus clientes.- Ideal para tiendas de moda, accesorios, alimentos, o cualquier tipo de negocio pequeño.Este local comercial ofrece una excelente oportunidad para quienes buscan un espacio céntrico, con una clientela establecida y una ubicación de alto tráfico. Además, el centro comercial Novacenter es un lugar de referencia para las compras y el entretenimiento en la ciudad.",,,9 m²,$ 1.500.000,Local comercial,Arriendo,LOCAL en ARRIENDO en Tunja CENTRO,"Boyacá, Tunja, Tunja"
45 m²,"Cocina integral,Tanque de agua,Agua,Vista panorámica,Gas natural","ARRIENDO APARTAMENTO PEQUEÑO UBICADO EN EL BARRIO PARAISO DE TUNJA, CERCA AL COLEGIO INEM, POLICLINICA DE LA POLICIA, COLEGIO DE LA POLICIA, A POCAS CUADRAS DEL CENTRO DE LA CIUDAD, CON BUEN SERVICIO DE TRANSPOPRTE.

El apartamento consta de Sala  comedor, cocina integral, espacio para lavadora, un baño, dos habitaciones con closet, pisos en ceramica, con muy buena iluminacion, servicios de: agua, luz, gas natural, estrato 3

Valor canon de arrendamiento: $650.000

CONTACTO: ",3,,,$ 650.000,Apartamento,Arriendo,ARRIENDO APARTAMENTO BARRIO PARAISO TUNJA,"Calle 17 #11-66, Tunja, Boyacá, Colombia"
,Aparcadero,"Inmobiliaria Atos tiene el placer de ofrecer un espacioso local comercial en el corazón del centro de la ciudad. Este local, con una superficie de 40 metros cuadrados, es una oportunidad excepcional para establecer su negocio en una ubicación estratégica.Características Destacadas:- Área espaciosa de 40 m².- Ubicación privilegiada en el centro de la ciudad.- A solo unas cuadras de la emblemática Plaza de Bolívar.- Cuenta con un conveniente parqueadero para sus clientes.- Amplias ventanas que brindan excelente visibilidad y luz natural.- Espacio versátil que se adapta a una variedad de usos comerciales.Este local comercial es ideal para negocios minoristas, oficinas, tiendas de moda, cafeterías, restaurantes, y mucho más. La ubicación central garantiza un alto flujo de tráfico peatonal y vehicular, lo que aumentará la visibilidad de su negocio.",,,40 m²,$ 2.818.000,Local comercial,Arriendo,LOCAL en ARRIENDO en Tunja CENTRO,"Boyacá, Tunja, Tunja"
,Aparcadero,"En arriendo, presentamos una amplia casa familiar en el distinguido barrio Maldonado. Con una generosa extensión de 260 m2, esta propiedad ofrece un espacio funcional y cómodo para una familia. Sus tres parqueaderos, uno de ellos en el interior, facilitan el acceso y la comodidad del estacionamiento.La casa incluye una cocina integral que se adapta a las necesidades cotidianas, ya sea para preparar alimentos o satisfacer otras necesidades domésticas. Con seis salones espaciosos, el interior se adapta fácilmente a las actividades familiares, ofreciendo áreas de estar y entretenimiento. Cinco baños distribuidos estratégicamente aseguran la comodidad de los residentes y visitantes por igual, y los espacios de almacenamiento con closets y gabinetes están destinados a facilitar la organización en el entorno familiar. Además, la propiedad cuenta con dos patios amplios para diversas actividades y una zona de lavado que completa las comodidades de la vida en familia.",,5 baños,,$ 3.000.000,Casa,Arriendo,CASA en ARRIENDO en Tunja MALDONADO,"Boyacá, Tunja, Tunja"
,,"¡Excelente oportunidad para posicionar tu empresa en una ubicación privilegiada en Tunja! Tenemos disponible en alquiler un amplio local en el reconocido centro comercial Unicentro. Este local cuenta con una ubicación estratégica cerca de la plazoleta de comidas, lo que garantiza una gran afluencia de clientes potenciales.Con un generoso espacio de 85.10 m², este local es perfecto para establecer y hacer crecer tu negocio. Además, te brinda la visibilidad y comodidad que necesitas para destacarte en el mercado. No puedes dejar pasar esta oportunidad única.Te invitamos a contactarnos ahora mismo para obtener más detalles y reservar una visita. Estamos emocionados de recibirte y mostrarte todas las ventajas que este local tiene para ofrecer. Es importante tener en cuenta que al valor del canon de arrendamiento se debe agregar el valor del IVA correspondiente, así como el valor de la administración.No esperes más y asegura tu lugar en este atractivo centro comercial.",,,85 m²,$ 8.000.000,Local comercial,Arriendo,LOCAL en ARRIENDO en Tunja UNICENTRO,"Boyacá, Tunja, Tunja"
,Aparcadero,"**Apartamento en Venta y Arriendo en el Norte de la Ciudad - Barrio Las Quintas**Descubre esta excelente oportunidad de venta y alquiler de un hermoso apartamento en el barrio Las Quintas, ubicado en el norte de la ciudad, justo en frente del campus de la Universidad Santo Tomas. Con un área de 68.3 m², este apartamento cuenta con acabados de calidad y un diseño pensado para brindar comodidad y funcionalidad.El apartamento incluye una cocina integral con una elegante barra, una zona de ropas para tus tareas diarias, y una luminosa sala comedor. Además, consta de dos habitaciones, siendo la principal con baño privado para tu mayor comodidad. La segunda habitación tiene un hermoso balcón para disfrutar del aire fresco. También dispone de un baño adicional para visitantes o para la segunda habitación.Este apartamento viene completo con su propio parqueadero, lo que agrega un valor adicional. Si buscas un lugar con excelente ubicación y acabados de calidad!",,2 baños,,$ 1.300.000,Apartamento,Arriendo,APARTAMENTO en ARRIENDO/VENTA en Tunja LAS QUINTAS,"Boyacá, Tunja, Tunja"
,Aparcadero,"Atos tiene disponible para arriendo un apartamento en el conjunto cerrado María Fernanda, ubicado en el barrio Santa Inés. Este apartamento consta de tres habitaciones, dos baños, sala comedor, cocina integral, zona de ropas, parqueadero y depósito. Se encuentra en el octavo piso, lo que puede ofrecer una vista agradable y mayor privacidad.Si estás interesado en este apartamento en Santa Inés, te invitamos a ponerte en contacto con Atos Inmobiliaria para obtener más información y programar una visita. Este podría ser un lugar ideal para establecer tu hogar en un ambiente seguro y cómodo.",,2 baños,,$ 1.400.000,Apartamento,Arriendo,APARTAMENTO en ARRIENDO en Tunja SANTA INES,"Boyacá, Tunja, Tunja"
