area,caracteristicas,descripcion,estrato,numero_baños,numero_habitaciones,precio,tipo_inmueble,tipo_operacion,titulo,ubicacion
59 m²,"Aparcadero,Tanque de agua,Agua,Cocina integral,Gas natural","CONFORTABLE APARTAMENTO UBICADO EN LA ENTRADA DEL BARRIO MESOPOTAMIA, CERCA A LA AVENIDA NORTE, CENTRO COMERCIAL LA SEXTA, CAMARA DE COMERCIO, UPTC.

Vendo Apartamento en un Quinto piso con ascensor, celaduria, garaje.
El apartamento consta de: Sala comedor, cocina integral, zona de ropas, dos habitaciones con closet, baño privado, baño social, pisos en madera laminada, calentador de paso, cortinas

Servicios de agua, luz, gas natural estrato 5
Área: 59mts2
Valor Venta: $ 235.000.000

CONTACTO ",5,2 baños,2 habitaciones,"$ 235.000.000
                        ",Apartamento,Compra,VENDO APARTAMENTO EDIFICIO  PALMAS DE MESOPOTAMIA,"Mesopotamia, Carrera 4, Tunja, Boyacá, Colombia"
,Aparcadero,"Atos Inmobiliaria presenta una excelente oportunidad de inversión: un apartamento en venta en el corazón del centro de la ciudad, rodeado de comodidades y cerca de importantes instituciones educativas como la Facultad de Salud de la UPTC y la Universidad Antonio Nariño.Este apartamento se encuentra en un edificio que cuenta con ascensor, lo que garantiza tu comodidad en cada desplazamiento. Con un área de 78.93 m2, ofrece un amplio espacio para tu estilo de vida.Al ingresar, te recibirá una acogedora sala comedor, ideal para momentos de relajación y convivencia. La cocina integral está diseñada con funcionalidad en mente, y la zona de ropas incluye un calentador para mayor comodidad.Las tres habitaciones con clóset ofrecen espacio de almacenamiento, y dos baños completos aseguran la privacidad y el confort de todos los residentes. Además, contarás con un parqueadero cubierto, brindándote seguridad y protección para tu vehículo.",,2 baños,,"$ 295.000.000
                        ",Apartamento,Compra,APARTAMENTO en VENTA en Tunja CENTRO,"Boyacá, Tunja, Tunja"
85 m²,"Aparcadero,Vista panorámica,Gas natural,Electricidad,Cocina integral,Tanque de agua,Agua,Terraza","VENDO CASA COMODA Y ACOGEDORA, EN SECTOR DE AMPLIA VALORIZACION, AL NORTE DE TUNJA, SOBRE LA AVENIDA NORTE, EN CONJUNTO CERRADO, CUENTA CON VIGILANCIA PRIVADA 24/7, AMPLIAS ZONAS VERDES, PARQUEADERO CUBIERTO, ZONA INFALTIL, CERCA A INSTALACIONES DE BAVARIA, PLAZA DE MERCADO DEL NORTE,DISTRIBUIDORA DE POLLO, FERRETERIAS, CONCESIONARIOS DE AUTOMOVILES, CORPOBOYACA, IRDET.

La casa consta de: Sala comedor, cocina integral, zona de ropas, tres habitaciones con closet, zona de estudio, tres baños con división, calentador de paso, terraza, construida en tres niveles.
La casa cuenta con parqueadero cubierto, esta en excelente estado de conservación, goza de muy buena luz natural , y ventilación.
Servicios de: Agua, luz, gas natural,estrato 4.

Área  lote 80mts2
Área construida: 85mts2
Valor Venta: $268.000.000

CONTACTO: ",4,3 baños,,"$ 268.000.000
                        ",Casa,Compra,VENDO CASA PARQUES DE CASTILLA TUNJA,"Parques De Castilla, Calle 55A, Tunja, Boyacá, Colombia"
,Aparcadero,"Inmobiliaria Atos se complace en presentar esta hermosa casa para estrenar ubicada en el conjunto cerrado más encantador del barrio Altagracia, a pocos pasos del Centro Comercial Viva. Esta propiedad ofrece una combinación de comodidad, elegancia y lujo, ideal para quienes buscan un hogar excepcional.Características de la Casa:- Área total de 132 m².- Sala espaciosa, perfecta para relajarse o recibir visitas.- Garaje para su comodidad.- Comedor luminoso y acogedor.- Estudio ideal para trabajar desde casa o como espacio de lectura.- Cocina integral equipada con lavavajillas.- Zona de ropas independiente.- En el segundo nivel, encontrará dos habitaciones auxiliares y un baño completo.- Habitación principal con baño privado y vestier.- Excelentes acabados y detalles de diseño.Comodidades del Conjunto:- Sauna y jacuzzi para relajarse después de un largo día.- Gimnasio bien equipado para mantenerse en forma.- Salón social para eventosEsta casa es una oportunidad única",,3 baños,,"$ 480.000.000
                        ",Casa,Compra,CASA en VENTA en Tunja ALTAGRACIA,"Boyacá, Tunja, Tunja"
,,"Atos Inmobiliaria - Apartamento en Las Quintas para EstrenarEstás invitado a explorar una oportunidad única en el barrio Las Quintas al norte de la ciudad. Este apartamento, que está listo para estrenar, destaca por su excelente vista, abundante luz natural y diseño moderno en un espacio de 82 m² distribuido en dos niveles.Diseño Moderno y Espacioso: La planta baja ofrece un amplio espacio de sala y comedor, conectado con una cocina integral de alta calidad. Además, cuentas con una zona de lavandería y un baño social.Dúplex con Espacios Cómodos: En la planta alta, encontrarás dos acogedoras habitaciones y un baño completo. Esta distribución dúplex garantiza la privacidad y el confort que buscas.Vista y Luz Natural: La propiedad ofrece una vista inspiradora y una luminosidad excepcional, creando un ambiente agradable para tu día a día.Este apartamento es una opción ideal tanto para familias como para profesionales que buscan un espacio cómodo y contemporáneo.",,2 baños,,"$ 290.000.000
                        ",Apartamento,Compra,APARTAMENTO en VENTA en Tunja LAS QUINTAS,"Boyacá, Tunja, Tunja"
,,"¡Increíble oportunidad de inversión! En venta, un lote exclusivo en el prestigioso barrio Balcones de Terranova, con una superficie de 81.25 m2. Este lote te brinda la posibilidad de construir la casa de tus sueños, adaptada a tus necesidades y preferencias.Cabe destacar que cuenta con licencia de construcción, planos estructurales y arquitectónicos, además de una red eléctrica encauchetada y diseño provisional eléctrico para el inicio de obra. Todo está listo para que comiences a construir tu hogar sin complicaciones.No dejes pasar esta oportunidad única de adquirir este lote en el prestigioso barrio Arboleda. Ponte en contacto con nosotros hoy mismo para obtener más información y asegurar tu lugar en este lugar privilegiado. ¡No esperes más y construye la casa de tus sueños!",,,,"$ 135.000.000
                        ",Lote,Compra,LOTE en VENTA en Tunja BALCONES DE TERRANOVA,"Boyacá, Tunja, Tunja"
26 m²,"Balcón,Vista panorámica,Gas natural,Cocina integral,Tanque de agua,Agua","VENDO APARTAESTUDIO UBICADO EN EL BARRIO GAITAN DE LA CIUDAD DE TUNJA, CERCA A CLINICA DE LOS ANDES, GLORIETA NORTE, UPTC, EPS SANITAS, COLSUBSIDIO, ALMACEN EL CHISPASO, AVENIDA MALDONADO, RESTAURANTES, PANADERIAS, FARMACIAS, PAPELERÍAS 

El apartaestudio consta de: Sala comedor, cocina integral, zona de ropas, un baño con division en acrilico,  una habitación con closet y balcón, pisos en madera laminada, calentador de paso, cuenta con excelente luz natural, acceso con chip, el apartaestudio esta ubicado en el piso tres.
Servicios de: Agua, luz, gas natural, estrato 3

Área: 26.59mts2
Valor Venta: $ 113.000.000

CONTACTO ",3,,,"$ 113.000.000
                        ",Apartamento,Compra,"VENDO APARTAESTUDIO BARRIO GAITAN TUNJA, CERCA A LA UPTC","Cra. 13 #31-32, Tunja, Boyacá, Colombia"
,Gas natural,"Atos Inmobiliaria - Espectacular Apartamento para Estrenar en Las Quintas, TunjaDescubre este espectacular apartamento listo para estrenar en el prestigioso Barrio Las Quintas de Tunja, Boyacá. Con una construcción de 105,19 m², este apartamento se destaca por su diseño de concepto abierto, que brinda amplitud y versatilidad a los espacios. Ofrece tres habitaciones, incluyendo una habitación principal con baño privado, mientras que las dos habitaciones adicionales comparten un segundo baño. Los acabados son de alta calidad, con porcelanato en los baños, cerámica o porcelanato en la cocina y la zona de lavandería, y piso laminado en las habitaciones y el salón social. La cocina integral está equipada con electrodomésticos tipo CHALLENGER, y hay un punto preparado para la chimenea en el salón social. El apartamento está diseñado para comodidad y eficiencia, con aislamiento de doble muro en el perímetro para una mayor acústica y climatización.",,3 baños,,"$ 415.000.000
                        ",Apartamento,Compra,APARTAMENTO en VENTA en Tunja LAS QUINTAS,"Boyacá, Tunja, Tunja"
,Aparcadero,"Inmobiliaria Atos tiene el placer de presentar este hermoso apartaestudio en venta, ubicado en el apacible barrio JJ Camacho, a solo unos metros del Centro Comercial Centro Norte. Este acogedor apartaestudio en el tercer piso combina comodidad, estilo y una ubicación conveniente.Características del Apartaestudio:- Amplia sala comedor para disfrutar de momentos especiales.- Cocina integral equipada con todos los elementos necesarios.- Zona de ropas para su comodidad.- Baño completo de excelente calidad.- Habitación con closet, proporcionando espacio de almacenamiento.- Parqueadero incluido para su conveniencia y depósito.- Ascensor en el edificio para fácil acceso.- Vigilancia 24/7 para una mayor seguridad.- Citófono para control de acceso.Los acabados de este apartaestudio son de excelente calidad, lo que lo hace perfecto para aquellos que buscan una vivienda que combine elegancia y funcionalidad.",,,,"$ 140.000.000
                        ",Apartamento,Compra,APARTAESTUDIO en VENTA en Tunja JJ CAMACHO,"Boyacá, Tunja, Tunja"
,Aparcadero,"En Atos Inmobiliaria estamos muy emocionados de presentar este hermoso apartamento en venta en el barrio Mesopotamia. Con un área de 79.86 m2, este apartamento es perfecto para aquellos que buscan comodidad y funcionalidad en una ubicación privilegiada.Este apartamento cuenta con tres habitaciones, dos baños completos, sala comedor, cocina y un balcón que te brinda una hermosa vista de la ciudad. Además, cuenta con garaje y depósito para tu comodidad y seguridad.Su ubicación en el barrio Mesopotamia te brinda acceso a una amplia variedad de servicios y comodidades, como supermercados, restaurantes, transporte público y colegios.No pierdas la oportunidad de adquirir este hermoso apartamento en una de las zonas más exclusivas de la ciudad. Contáctanos para más información y agenda una visita para conocerlo personalmente. ¡Haz realidad el sueño de tener tu propio hogar en el barrio Mesopotamia!",,2 baños,,"$ 315.000.000
                        ",Apartamento,Compra,APARTAMENTO en VENTA en Tunja MESOPOTAMIA,"Boyacá, Tunja, Tunja"
