area,caracteristicas,descripcion,estrato,numero_baños,numero_habitaciones,precio,tipo_inmueble,tipo_operacion,titulo,ubicacion
130 m²,"Parqueadero,Cocina integral,Vista panorámica,Alarma,Cuarto de oficina,Electricidad,Terraza,Balcón,Jacuzzi,Patio,Gas natural,Agua,Bodega","Excelente oportunidad, vendemos casa en conjunto cerrado totalmente nueva y sin estrenar en conjunto Arboleda Real, cerca a Unicentro, Clinica Medilaser y Green Hills, con seguridad privada 24 horas. La casa cuenta con 3 pisos, son 130 Mts construidos, distribuidos asi: Entrada con garaje cubierto privado y antejardin, 1er piso: Sala comedor (grande) cocina integral tipo americana amplia, patio de ropas cubierto, zona de TV y un baño. 2do Piso: 3 habitaciones con closet, zona de estudio o TV en el hall y un baño. 3er Piso: Habitacion principal muy amplia con baño privado el cual cuenta con Jacuzzi, closet grande, zona de vestier y balcon, rodeado de vista hermosa de montañas silvestres.  Precio negociable! Oportunidad!!!",4,3 baños,4 habitaciones,"$ 510.000.000
                        ",Casa,Venta,Casa en venta en Tunja,"Tunja, Tunja, Boyacá "
,,"EXCELENTE PREDIO URBANO PARA DESARROLLO MIXTO - 22.374 UBICACION INDUSTRIAL TUNJA ZONA SUR
A dos minutos de la variante Bogotá - Tunja y 5 minutos de la antigua via 
La propiedad es privilegiada por su tamaño y el trafico de población gracias al gran desarrollo nacional del Parque Agroalimentario de Tunja.
El predio permite el desarrollo de proyectos industriales de bodegas y/o vivienda VIS y no VIS 
Se escuchan ofertas! KV  ",Venta,,22.374 m²,"$ 8.949.600.000
                        ",Lote,22.374 m²,Lote en venta en San Carlos,"San Carlos, Tunja, Tunja, Boyacá "
,,"EL PORTAL DEL BOSQUE CUENTA CON :
Area  construidos 68,46m 
#   Baños    1   #Alcobas    2    Sala-Comedor ,  Cocina ,estudio ,Zona Ropas un    
  Precio  $ 195.111.000 $ .Cuenta con las siguientes zonas comunes
ZONA COMERCIAL 
PARQUEADERO DE VISITANTES
SALON DE EVENTOS 
GIMNASIO
SAUNA 
JACUZZI
TERRAZA DE AEROBICOS
ZONA DE BBQ
SENDEROS ECOLOGICOS 
PARQUES INFANTILES
CANCHA MÚLTIPLE
Invierta en vivienda propia en Colombia. En EL PORTAL DEL BOSQUE te ayudamos a proteger tu futuro y el de tu familia . ¡Es un negocio rentable! ",Venta,1 baño,2 habitaciones,"$ 199.129.500
                        ",Apartamento,2025,Apartamento en venta en Los Parques,"Los Parques, Tunja, Tunja, Boyacá "
,,"EL PORTAL DEL BOSQUE CUENTA CON :
Área construida 110.32
#Baños 2   #Alcobas 3  Sala-Comedor, Cocina, Estudio, Zona Ropas.
Precio  $ 325,444,000 $ Cuenta con las siguientes zonas comunes
ZONA COMERCIAL 
PARQUEADERO DE VISITANTES
SALON DE EVENTOS 
GIMNASIO
SAUNA 
JACUZZI
TERRAZA DE AEROBICOS
ZONA DE BBQ
SENDEROS ECOLOGICOS 
PARQUES INFANTILES
CANCHA MÚLTIPLE
Invierta en vivienda propia en Colombia. En EL PORTAL DEL BOSQUE te ayudamos a proteger tu futuro y el de tu familia . ¡Es un negocio rentable! ",Venta,2 baños,3 habitaciones,"$ 325.444.000
                        ",Apartamento,2025,Apartamento en venta en Los Parques,"Los Parques, Tunja, Tunja, Boyacá "
67 m²,"Parqueadero,Cocina integral,Tanque de agua,Agua,Balcón,Vista panorámica,Gas natural","APARTAMENTO ESTA  EN UN TERCER PISO, CON EXCELENTE LUZ NATURAL, ACABADOS DE MUY BUENA CALIDAD,CONSTRUCCION  NO MAYOR A 10 AÑOS,  UBICADO CERCA A: CLINICA MEDILASER, UNIBOYACA, GREEN HILLS, ALMACENES D1, FRUVERS, COLEGIO DE LOS ANGELES, MUY BUEN BUEN SERVICIO DE TRANSPORTE PUBLICO.

El apartamento consta de: Sala con balcón, comedor, cocina integral, zona de ropas, dos baños con divisiones, tres habitaciones con closet, calentador de paso, pisos en porcelanato y madera laminada, parqueadero cubierto.

Servicios de Agua, luz, gas natural, estrato 4 

Área: 67mts2

Valor venta: $245.000.000

CONTACTO : ",4,2 baños,3 habitaciones,"$ 245.000.000
                        ",Apartamento,Venta,Apartamento en venta en Boyaca,"Boyaca, Bogotá, D.C., Bogotá, D.C., Bogotá, D.C. "
,,"Lote rural de uso mixto, residencial a un 80 porciento.",,,,"$ 460.000.000
                        ",,,Lote en venta en Gaitán,"Gaitán, Tunja, Boyacá "
,Parqueadero,"D.C COLOMBIA S.A.S Vende edificio de 3 pisos. Área construida 440,00 mt2 y área de terreno 206,15 mt2. Primer piso ingreso por calle, local comercial, chimenea, ventilador, 2 baños, espacio para bodega o cocina, otra bodega con entrada independiente, cuarto de aseo y garaje. Segundo piso, área de tres oficinas, una bodega y un baño privado, salón de dos unidades de baño hombre y mujer. Tercer piso con espejo de agua, salón, baños hombre y mujer, espacio para oficinas, bodega o sala de juntas.",3,440 m²,6 baños,"$ 2.700.000.000
                        ",Local comercial,Venta,Local comercial en venta en Maldonado,"Maldonado, Tunja, Tunja, Boyacá "
,,"D.C COLOMBIA S.A.S Vende local con área de 1.103,49M2, el cual está conformado de la siguiente manera Entrada por bodega donde se encuentran los tacos de luz y el cuarto de proyecciones. Al entrar al local tenemos el pasillo donde están las entradas a la cocina, está la bodega y una bodega auxiliar, también está el cuarto de venta de comida, enseguida está el cuarto de taquilla y dos cuartos más al lado y por el siguiente costado está un cuarto de administración. Por el pasillo tiene las 9 salas de proyección, las cuales están conformadas por escaleras en baldosa y enseguida están otros cuartos y uno de lavado de trapero. Luego están los baños de mujeres y de hombres.",5,1.103 m²,2 baños,"$ 4.017.396.662
                        ",Local comercial,Venta,Local comercial en venta en Urbanizacion La Florida,"Urbanizacion La Florida, Tunja, Tunja, Boyacá "
,,"D.C Colombia S.A.S vende local comercial ubicado en el Centro comercial Unicentro Tunja, identificado con el número 01-011. El inmueble que cuenta con 319.99 m2 cuenta con una amplia zona interior, 2 cubículos,1 sala de juntas, zona social o cafetería, 2 baños, 1 zona de lockers, 1 cubículo para caja,2 puertas de acceso: la primera de carácter comercial y la segunda correspondiente a la zona de carga, además cuenta con aire acondicionado. El inmueble al interior del centro comercial se localiza en el ala sur, fácil ubicación y visualización.",4,319 m²,2 baños,"$ 2.916.627.171
                        ",Local comercial,Venta,Local comercial en venta en Santa Inés,"Santa Inés, Tunja, Boyacá "
,,"Bodega ubicada a una 3 cuadras de la avenida principal y a 3 minutos del Centro Histórico con servicios de luz trifásica, agua y gas natural, una zona estratégica de almacenamiento para cualquier insumo o producto con varias vías de acceso.",2,,136 m²,"$ 150.000.000
                        ",Lote industrial,Venta,Lote industrial en venta en Tunja,"Tunja, Boyacá "
,,"Bodega ubicada a una 3 cuadras de la avenida principal y a 3 minutos del Centro Histórico con servicios de luz trifásica, agua y gas natural, una zona estratégica de almacenamiento para cualquier insumo o producto con varias vías de acceso.",2,,136 m²,"$ 150.000.000
                        ",Lote industrial,Venta,Lote industrial en venta en Tunja,"Tunja, Boyacá "
190 m²,"Parqueadero,Vista panorámica,Cocina integral,Chimenea","Esta hermosa Casa Campestre, ubicada en Tunja, Boyacá, ofrece una gran superficie construida de 190 M2 y cuenta con 5 alcobas, 4 baños, 2 garajes y una hermosa vista panorámica. Un área social en la parte externa incluye abundancia de sillones y una terraza para disfrutar de esta área. Está cerca de la zona urbana, ideal para quienes buscan la comodidad de una vida campestre y las comodidades de la ciudad. Además cuenta con una urbanización cerrada, vigilancia, zona campestre y un gran número de zonas verdes.

Internamente, la casa cuenta con una amplia cocina integral, un gran hall de alcobas, una zona de lavandería y varios clósets para tu organización. Las noches serán un poco más agradables gracias a la hermosa chimenea. El garaje es ideal para alojar tus vehículos. El jardín, con árboles, ofrecerá calma y entretenimiento a quienes lo disfruten.

Esta casa es una excelente oportunidad para aquellos que estén buscando vivir la vida campestre en una bella localidad como Tunja, Boyacá. Ofrece todas las comodidades de una vida urbana, sin limitar las ventajas de vivir en el campo.",4,4 baños,5 habitaciones,"$ 500.000.000
                        ",Casa,Venta,Casa en venta en Los Parques,"Los Parques, Tunja, Tunja, Boyacá "
354 m²,,"Casa/bodega con un área de 354,07 m² localizada en el barrio San Francisco. Consta de 3 pisos divididos de la siguiente manera: En el piso 1 hay una Bodega amplia con baño. En el piso 2 tiene un salón con espacio exclusivo (balcón). En el piso 3 hay un apartamento con 2 habitaciones, closet, un baño privado y un baño social, un cuarto de estudio, sala-comedor, espacio exclusivo (balcón) y patio. La propiedad se encuentra aledaña a la Plaza del Mercado del Sur, el sector es usado especialmente para bodegas industriales, cercano se encuentra un CAI de la Policía Nacional, también tiene varias salidas a la ciudad o vías principales.",3,2 baños,2 habitaciones,"$ 530.427.129
                        ",Casa,Venta,Casa en venta en Tunja,"Tunja, Boyacá "
3,"Balcón,Vista panorámica,Gas natural,Cocina integral,Tanque de agua,Agua","VENDO APARTAESTUDIO UBICADO EN EL BARRIO GAITAN DE LA CIUDAD DE TUNJA, CERCA A CLINICA DE LOS ANDES, GLORIETA NORTE, UPTC, EPS SANITAS, COLSUBSIDIO, ALMACEN EL CHISPASO, AVENIDA MALDONADO, RESTAURANTES, PANADERIAS, FARMACIAS, PAPELERÍAS 

El apartaestudio consta de: Sala comedor, cocina integral, zona de ropas, un baño con division en acrilico,  una habitación con closet y balcón, pisos en madera laminada, calentador de paso, cuenta con excelente luz natural, acceso con chip, el apartaestudio esta ubicado en el piso tres.
Servicios de: Agua, luz, gas natural, estrato 3

Área: 26.59mts2
Valor Venta: $ 113.000.000

CONTACTO ",3,1 baño,1 habitación,"$ 113.000.000
                        ",Apartamento,Venta,Apartamento en venta en Jorge Eliercer Gaitan,"Jorge Eliercer Gaitan, Tunja, Tunja, Boyacá "
80 m²,"Parqueadero,Vista panorámica,Gas natural,Electricidad,Cocina integral,Tanque de agua,Agua,Terraza","VENDO CASA COMODA Y ACOGEDORA, EN SECTOR DE AMPLIA VALORIZACION, AL NORTE DE TUNJA, SOBRE LA AVENIDA NORTE, EN CONJUNTO CERRADO, CUENTA CON VIGILANCIA PRIVADA 24/7, AMPLIAS ZONAS VERDES, PARQUEADERO CUBIERTO, ZONA INFALTIL, CERCA A INSTALACIONES DE BAVARIA, PLAZA DE MERCADO DEL NORTE,DISTRIBUIDORA DE POLLO, FERRETERIAS, CONCESIONARIOS DE AUTOMOVILES, CORPOBOYACA, IRDET.

La casa consta de: Sala comedor, cocina integral, zona de ropas, tres habitaciones con closet, zona de estudio, tres baños con división, calentador de paso, terraza, construida en tres niveles.
La casa cuenta con parqueadero cubierto, esta en excelente estado de conservación, goza de muy buena luz natural , y ventilación.
Servicios de: Agua, luz, gas natural,estrato 4.

Área  lote 80mts2
Área construida: 85mts2
Valor Venta: $268.000.000

CONTACTO: ",4,3 baños,3 habitaciones,"$ 268.000.000
                        ",Casa,Venta,Casa en venta en Prados del Norte,"Prados del Norte, Tunja, Tunja, Boyacá "
137 m²,,"Apartamento Dúplex con vista hacia el sur y oriente de la ciudad tiene la siguiente distribución : Primer Nivel : Entrada , sala comedor, estudio abierto, balcón, cocina abierta, 1 baño social, habitación con baño privado y tina de hidromasajes. Segundo Nivel : Escalera, estar de alcobas, zona de ropas, 3 alcobas con closet una de estas con baño privado, vestier, balcón y otra solo con baño privado y closet. El edificio cuenta con equipamiento comunal, portería 24 horas, 2 ascensores, citofonía, chut de basuras, sala de cine, gimnasio, zona de canchas deportivas , salón social y parqueadero de visitantes . Acometida general única a tanque de almacenamiento de agua potable.",5,4 baños,4 habitaciones,"$ 531.000.000
                        ",Apartamento,Venta,Apartamento en venta en Tunja,"Tunja, Boyacá "
137 m²,,"Apartamento  dúplex con vista hacia el sur y oriente de la ciudad. Tiene la siguiente distribución :  primer nivel con  entrada , sala comedor, estudio abierto, balcón, cocina abierta, 1 baño social, habitación con baño privado y tina de hidromasajes. Segundo nivel : escalera, estar de alcobas, zona de ropas, 3 alcobas con closet una de estas con baño privado, vestier balcón  y otra solo con baño privado y closet .  El edificio cuenta con equipamiento comunal, portería 24 horas, 2 ascensores, citofonía, chut de basuras,  sala de cine,  gimnasio, zona  de canchas deportivas , salón social y parqueadero de visitantes . Acometida general única a tanque de almacenamiento de agua potable.",4,4 baños,4 habitaciones,"$ 531.000.000
                        ",Apartamento,Venta,Apartamento en venta en Los Muiscas,"Los Muiscas, Tunja, Boyacá "
137 m²,,"Apartamento Dúplex con vista hacia el sur y oriente de la ciudad tiene la siguiente distribución : Primer Nivel : Entrada , sala comedor, estudio abierto, balcón, cocina abierta, 1 baño social, habitación con baño privado y tina de hidromasajes. Segundo Nivel : Escalera, estar de alcobas, zona de ropas, 3 alcobas con closet una de estas con baño privado vestier, balcón y otra sólo con baño privado . El edificio cuenta con equipamiento comunal, portería 24 horas, 2 ascensores, citofonía, chut de basuras, sala de cine, gimnasio, zona de canchas deportivas , salón social y parqueadero de visitantes . Acometida general única a tanque de almacenamiento de agua potable.",5,4 baños,4 habitaciones,"$ 531.000.000
                        ",Apartamento,Venta,Apartamento en venta en Tunja,"Tunja, Boyacá "
24 m²,"Cocina integral,Tanque de agua,Agua,Vista panorámica,Gas natural","APARTAESTUDIO PARA ESTRENAR , OIKOS, MONTEVERDE AL SUR DE TUNJA, CERCA A AVENIDAS PRINCIPALES, CLORIETA DE LOS HONGOS, BARRIO SAN FRANCISCO, Y SURINAMA, CERCA A COLEGIOS, JARDINES INFANTILES, UBICADO EN EL SECTOR DE GRAN VALORIZACION EN TUNJA, CONJUNTO CERRADO CON PORTERIA, INCLUYE PARQUEADEROS COMUNALES, PARQUEADERO DE VISITANTES, ZONAS VERDES, POR SU UBICACION ESTRATEGICA NOS PERMITE DISFRUTAR DE UNA VISTA MARAVILLOSA.

El apartaestudio consta de: Sala comedor y alcoba en espacio abierto, con vista panorámica, baño con división, calentador de paso, cocina integral, zona de ropa, pisos en madera laminada.

Servicios: Agua, luz, gas natural, estrato 3
Área: 24mts2
Precio Venta: $ 110.000.000

CONTACTO ",3,24 m²,1 baño,"$ 110.000.000
                        ",Apartamento,Venta,Apartamento en venta en Nazareth,"Nazareth, Tunja, Tunja, Boyacá "
,"Parqueadero,Vista panorámica,Gas natural,Agua,Cocina integral,Tanque de agua,Chimenea,Electricidad","VENDO CASA AL SUR ORIENTE DE TUNJA, EXCELENTE SECTOR, CON MUY AGRADABLE ESPACIO VERDE DENTRO DEL CONJUNTO, VIGILANCIA PRIVADA 24/7,  EXCELENTE SERVICIO DE TRANSPORTE PUBLICO, CERCA A POLIDEPORTIVO DEL BARRIO SAN ANTONIO, COLEGIOS, INSTALACIONES DE VEOLIA.

La casa consta de: Sala comedor, cocina semi-integral, zona de ropas, star, tres alcobas con closet,dos baños, garaje cubierto, goza de excelente luz natural, pisos en ceramica.

Servicios de: agua, luz, gas natural estrato 3
Área Construida: 68.71  
Valor Venta:$ 210.000.000 

CONTACTO ",3,2 baños,3 habitaciones,"$ 210.000.000
                        ",Casa,Venta,Casa en venta en La Penita,"La Penita, Tunja, Tunja, Boyacá "
,,"LOTE INTEGRADO POR DOS LOTES QUE CORRESPONDE A: UNO CON 429 M2 VALOR  Y EL SEGUNDO LOTE CON 629 M2 VALOR LOTE EN CÉSPED, URBANO.  Expensas: 0 COP- Agua corriente- Gas natural",,,,"$ 640.000.000
                        ",,,Lote en venta en Veinte de Julio,"Veinte de Julio, Tunja, Boyacá "
,"Parqueadero,Cuarto de servicio,Gas natural,Electricidad,Patio,Tanque de agua,Agua","VENDO CASA UBICADA EN EL BARRIO EL CONSUELO DE TUNJA, SOBRE AVENIDA ORIENTAL SALIDA PARA BOGOTA, CERCA AL CENTRO DE TUNJA, ANTIGUO TERMINAL, CAI DE POLICIA DEL BARRIO PATRIOTAS, CUENTA CON EXCELENTE SERVICIO DE TRANSPORTE URBANO,

La casa tiene una construcción de dos pisos, consta de: antejardin, sala, comedor, cocina con mesón, patio cubierto, cuarto de plancha con baño, cuatro habitaciones sin closet, dos baños, garaje cubierto.
Servicios de agua, luz, gas natural estrato 3.
Área construida: 80.40mts2

Valor venta: $250.000.000 negociables

CONTACTO: ",3,2 baños,4 habitaciones,"$ 250.000.000
                        ",Casa,Venta,Casa en venta en El Consuelo,"El Consuelo, Tunja, Tunja, Boyacá "
